Date,Open,High,Low,Close,Volume
2012-01-01,76.528,76.528,70.366,73.283,2686561
2012-01-08,73.282,78.847,72.619,75.535,4976329
2012-01-15,75.997,84.281,73.613,81.763,12437684
2012-01-22,80.834,87.129,79.376,86.068,6986199
2012-01-29,85.738,91.107,83.948,88.719,7106710
2012-02-05,88.719,96.271,87.26,95.344,7335069
2012-02-12,94.887,95.344,89.844,89.844,5817339
2012-02-19,90.972,92.163,87.858,91.169,5961747
2012-02-26,91.699,95.083,90.506,95.083,5829581
2012-03-04,95.083,101.17,93.49,100.31,7187473
2012-03-11,99.85,99.92,91.966,96.868,9942623
2012-03-18,96.742,102.5,96.474,101.3,7970529
2012-03-25,101.37,101.71,93.49,94.747,6331327
2012-04-01,96.001,99.66,91.634,94.813,8707749
2012-04-08,95.944,97.6,91.966,95.944,4889539
2012-04-15,95.149,95.149,90.579,92.1,3917677
2012-04-22,91.5,94.226,89.378,92.163,5093338
2012-04-29,92.1,92.1,87.328,91.241,5921859
2012-05-06,91.769,92.629,88.785,89.586,2774238
2012-05-13,87.991,88.918,84.148,85.472,8018462
2012-05-20,84.943,85.075,77.454,79.111,7429931
2012-05-27,80.171,82.624,75.866,78.317,7707507
2012-06-03,79.51,85.74,78.979,83.153,8241123
2012-06-10,82.424,90.506,82.227,89.917,5659198
2012-06-17,91.438,96.541,89.917,94.151,8453196
2012-06-24,96.936,99.201,93.424,96.405,9050857
2012-07-01,96.742,99.053,93.024,96.078,9722390
2012-07-08,96.541,103.1,95.008,99.459,10390904
2012-07-15,99.98,100.44,95.073,97.157,11532303
2012-07-22,97.894,97.983,95.27,96.752,6364675
2012-07-29,95.101,102.85,90.247,102.85,10315121
2012-08-05,102.93,106.38,101.12,105.15,10193382
2012-08-12,105.39,107.62,102.68,106.63,6260755
2012-08-19,105.39,114.13,104.9,111.16,4390628
2012-08-26,110.59,113.37,106.63,109.02,3718728
2012-09-02,108.84,109.93,106.38,106.97,3880923
2012-09-09,107.87,116.52,107.87,113.37,4660744
2012-09-16,114.44,127.38,114.28,125.16,6711289
2012-09-23,123.66,127.63,122.93,125.32,5298382
2012-09-30,124.33,125.56,120.05,125.56,5728518
2012-10-07,124.99,130.34,124.41,129.2,4773018
2012-10-14,128.12,131.66,126.47,129.69,3827819
2012-10-21,129.85,138.33,128.94,132.73,4248387
2012-10-28,133.38,134.29,126.06,131.5,4370537
2012-11-04,131.41,134.62,129.28,133.81,2152596
2012-11-11,132.56,137.75,131.99,135.86,4092626
2012-11-18,135.86,140.8,135.04,139.97,4363762
2012-11-25,140.8,149.86,140.8,149.03,3851113
2012-12-02,148.21,152.08,141.61,147.14,5478856
2012-12-09,146.57,154.54,144.92,144.99,4391912
2012-12-16,145.41,157.35,145.17,156.94,4353490
2012-12-23,156.46,160.39,152.67,155.21,5275825
2012-12-30,156.12,157.92,154.71,156.46,784311
2013-01-06,159.75,160.39,156.53,159.32,2533238
2013-01-13,158.91,160.06,156.03,157.09,4757204
2013-01-20,158.09,158.51,150.1,154.79,4041643
2013-01-27,155.13,159.82,151.67,154.39,2951517
2013-02-03,154.79,155.95,150.27,155.69,3877984
2013-02-10,156.46,158.67,151.33,156.46,4312654
2013-02-17,156.46,157.27,151.5,152.73,2652203
2013-02-24,153.48,156.03,146.49,147.79,4179849
2013-03-03,148.21,152.73,139.23,143.28,6962997
2013-03-10,143.19,145.99,139.97,143.28,4514464
2013-03-17,144.09,144.76,138.41,139.65,6190354
2013-03-24,138.33,138.33,127.7,130.6,8100161
2013-03-31,132.56,133.81,125.42,129.92,4118454
2013-04-07,130.25,134.62,126.39,131.41,4879163
2013-04-14,133.3,137.43,128.79,133.22,7571789
2013-04-21,131.75,132.23,111.57,117.51,7423222
2013-04-28,118.33,122.03,114.62,121.11,7211435
2013-05-05,121.7,123.18,116.92,117.99,3051635
2013-05-12,120.63,124.46,118.75,120.25,5173898
2013-05-19,120.21,121.44,115.67,116.1,4571088
2013-05-26,117.33,119.56,113.62,116.75,5025449
2013-06-02,117.87,123.87,117.17,122.11,3536810
2013-06-09,121.86,126.18,119.56,125.16,4734100
2013-06-16,125.73,129.1,122.03,127.38,6206730
2013-06-23,128.04,128.2,98.844,101.27,14986635
2013-06-30,98.805,103.26,95.925,99.64,9568276
2013-07-07,101.69,107.41,100.12,102.93,7042923
2013-07-14,103.75,107,100.45,107,6031440
2013-07-21,106.53,108.24,95.707,102.88,5511232
2013-07-28,103.32,106.73,100,100.27,3613344
2013-08-04,101.09,105.61,98.032,105.06,3984432
2013-08-11,105.87,113.17,102.06,112.77,5611091
2013-08-18,111.91,116.74,110.8,111.01,5613371
2013-08-25,111.47,116.93,107.97,115.58,4884795
2013-09-01,116.4,118.04,109.23,109.76,4696792
2013-09-08,112.18,115.89,104.08,107.44,5903142
2013-09-15,109.95,113.88,108.82,111.01,5465435
2013-09-22,112.72,116.26,109.01,113.21,5346853
2013-09-29,112.36,113.8,109.76,111.01,4734118
2013-10-06,110.12,111.55,106.09,108.16,6955888
2013-10-13,107.25,112.27,104.79,110.12,5177422
2013-10-20,109.32,111.91,108.07,108.64,4526684
2013-10-27,109.23,111.33,108.52,109.05,5300919
2013-11-03,109.68,111.82,109.32,111.51,4335785
2013-11-10,111.65,112.64,109.45,110.58,4313821
2013-11-17,111.01,111.01,101.25,107,5310010
2013-11-24,107.89,109.23,106.85,108.69,3177233
2013-12-01,109.23,109.99,103,106.05,5705413
2013-12-08,106,106,98.755,100.99,5808256
2013-12-15,102.11,105.69,101.12,102.92,4391044
2013-12-22,102.06,105.02,100.72,102.06,6614577
2013-12-29,102.97,104.57,102.51,104.57,727017
